ein,org_name_display,org_addr_full,ntee_code_major_group,ntee_code_definition,geo_match_addr,geo_county,geo_lat,geo_lon
01-0477310,Christian Mission Services,"200 COMMONWEALTH CT, CARY, NC 27511-2431",UNDEFINED,UNDEFINED,"200 Commonwealth Ct, Cary, North Carolina, 27511",Wake County,35.7671198545789,-78.7847643731893
01-0616952,Christ Our Hope Church,"203 CAPCOM AVE, WAKE FOREST, NC 27587-6514",UNDEFINED,UNDEFINED,"203 Capcom Ave, Wake Forest, North Carolina, 27587",Wake County,35.9489820147439,-78.5271577344916
01-0636457,Grace Ministries I,"6717 VERNIE DR, RALEIGH, NC 27603-8549",Housing and Shelter,Homeless Shelters,"6717 Vernie Dr, Raleigh, North Carolina, 27603",Wake County,35.5892264224134,-78.625334114173
01-0649099,Apex Highschool A O I T Support,"1501 LAURA DUNCAN RD, APEX, NC 27502-1539",Education,Parent/Teacher Group,"1501 Laura Duncan Rd, Apex, North Carolina, 27502",Wake County,35.7445641662817,-78.8364378330535
01-0667136,Reunite Cultures Fund,"7920 LAGENARIA DR, ANGIER, NC 27501-5503","Arts, Culture and Humanities",Music,"7920 Lagenaria Dr, Angier, North Carolina, 27501",Wake County,35.5422239378211,-78.7552550387499
01-0727936,Divine Gospel Mission International,"500 S NEW HOPE RD STE 103, RALEIGH, NC 27610-6401",Religion-Related,Protestant,"500 S New Hope Rd, Ste 103, Raleigh, North Carolina, 27610",Wake County,35.7725308467887,-78.5605398027004
01-0731506,Moore Square Museums Magnet Middle School Ptsa,"301 S PERSON ST, RALEIGH, NC 27601-1821",UNDEFINED,UNDEFINED,"301 S Person St, Raleigh, North Carolina, 27601",Wake County,35.7762737987766,-78.6350057727801
01-0868044,Revive Her Ministries,"1794 WENDELL BLVD, WENDELL, NC 27591-7292",Religion-Related,Christianity,"1794 Wendell Blvd, Wendell, North Carolina, 27591",Wake County,35.8020811612041,-78.400280341797
01-0900768,PTA North Carolina Congress,"11501 FRST PNES DR, RALEIGH, NC 27614-8031",UNDEFINED,UNDEFINED,"11501 Forest Pines Dr, Raleigh, North Carolina, 27614",Wake County,35.9532967882451,-78.5456283248592
01-0936487,Jill M Taylor Dance,"1921 FLS LNDG DR, RALEIGH, NC 27614-9829","Arts, Culture and Humanities",Dance,"1921 Falls Landing Dr, Raleigh, North Carolina, 27614",Wake County,35.9241805925903,-78.5734837800507
01-0936847,Living Kingdom Youth Development,"942 WIDEWATERS PKWY, KNIGHTDALE, NC 27545-7322",Youth Development,Camp Fire,"942 Widewaters Pkwy, Knightdale, North Carolina, 27545",Wake County,35.7925522414738,-78.504132370362
01-0939938,Incito,"4225 COLDWATER SPGS DR, RALEIGH, NC 27616-8419",Human Services,Family Services,"4225 Coldwater Springs Dr, Raleigh, North Carolina, 27616",Wake County,35.8578017580066,-78.4850185953316
01-0960609,Parent Booster Usa,"400 E MOORE ST, APEX, NC 27502-1927",UNDEFINED,UNDEFINED,"400 E Moore St, Apex, North Carolina, 27502",Wake County,35.7264700776449,-78.8475580699692
01-0967955,Sigma Gamma Rho Sorority,"1000 SOUTHHILL DR, CARY, NC 27513-8630",UNDEFINED,UNDEFINED,"1000 Southhill Dr, Cary, North Carolina, 27513",Wake County,35.8315250815973,-78.7762067630565
02-0604069,True Holiness Endtime Ministries,"1421 S WILMINGTON ST, RALEIGH, NC 27603-2525",Religion-Related,Protestant,"1421 S Wilmington St, Raleigh, North Carolina, 27603",Wake County,35.761938841797,-78.6391891723413
02-0615760,Christ Church Preschool,"120 E EDENTON ST, RALEIGH, NC 27601-1014",Education,"Kindergarten, Preschool, Nursery School, Early Admissions","120 E Edenton St, Raleigh, North Carolina, 27601",Wake County,35.7811205889263,-78.6374908112701
02-0624214,St Thomas More Academy,"4641 PARAGON PARK RD, RALEIGH, NC 27616-3406",UNDEFINED,UNDEFINED,"4641 Paragon Park Rd, Raleigh, North Carolina, 27616",Wake County,35.8886712231806,-78.5606552042531
02-0645520,Delta Epsilon Of Sigma Chi,"4825 REMBERT DR, RALEIGH, NC 27612-6237",Recreation and Sports,Recreational l Clubs,"4825 Rembert Dr, Raleigh, North Carolina, 27612",Wake County,35.8521581848348,-78.6889540555425
02-0647356,Triangle Volleyball Club,"121 COMPETITION CTR DR, MORRISVILLE, NC 27560-9032",Recreation and Sports,Amateur Sports,"121 Competition Center Dr, Morrisville, North Carolina, 27560",Wake County,35.8427184615673,-78.8173995123492
02-0683707,Toastmasters International,"3809 CASCADE CT, RALEIGH, NC 27604-3301",UNDEFINED,UNDEFINED,"3809 Cascade Ct, Raleigh, North Carolina, 27604",Wake County,35.8313098445956,-78.5884930875699
02-0755744,Nclm Local Leadership Foundation,"434 FAYETTEVILLE ST STE 1900, RALEIGH, NC 27601-1899",Public and Societal Benefit,Single Organization Support,"434 Fayetteville St, Ste 1900, Raleigh, North Carolina, 27601",Wake County,35.7743679672514,-78.6394469971431
02-0766172,New Seed Youth Organization,"121 MCKENZIE MDW LN, APEX, NC 27539-7733",Recreation and Sports,Basketball,"121 McKenzie Meadow Ln, Apex, North Carolina, 27539",Wake County,35.6784167041376,-78.8097801981936
02-0806900,North Carolina Medical Society Alliance,"1500 SUNDAY DR STE 102, RALEIGH, NC 27607-5151",UNDEFINED,UNDEFINED,"1500 Sunday Dr, Ste 102, Raleigh, North Carolina, 27607",Wake County,35.799309,-78.7306785135318
03-0411668,St Jude Media Ministry,"605 AUTUMNGATE DR, CARY, NC 27518-2260",Religion-Related,Religious Radio,"605 Autumngate Dr, Cary, North Carolina, 27518",Wake County,35.7092392112067,-78.7864270832994
03-0467764,Pediatric Cardiac Intensive Care Society,"183 WIND CHIME CT STE 203, RALEIGH, NC 27615-6473",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"183 Wind Chime Ct, Ste 203, Raleigh, North Carolina, 27615",Wake County,35.8755383245134,-78.642170980553
03-0473716,Haywood Hall Committee,"211 NEW BERN PL, RALEIGH, NC 27601-1415","Arts, Culture and Humanities",History Museums,"211 New Bern Pl, Raleigh, North Carolina, 27601",Wake County,35.7803163772286,-78.6358367288361
03-0479193,Give Back Organization,"3238 DOUGLAS FIR RD, RALEIGH, NC 27616-4014","Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,"3238 Douglas Fir Rd, Raleigh, North Carolina, 27616",Wake County,35.9056543324775,-78.5168474212873
03-0506627,Saiseekers Association Of America,"106 NATCHEZ CT, CARY, NC 27519-9535",Unknown,Unknown,"106 Natchez Ct, Cary, North Carolina, 27519",Wake County,35.7943716474985,-78.8489484888915
03-0538922,Emmanuel Anglican Church,"1221 CORPORATION PKWY, RALEIGH, NC 27610-1392",Religion-Related,Protestant,"1221 Corporation Pkwy, Raleigh, North Carolina, 27610",Wake County,35.7967145065209,-78.5686607147265
03-0547048,Crosspointe Biblical Counseling Center,"8311 SIX FRKS RD STE 211, RALEIGH, NC 27615-4939",Mental Health and Crisis Intervention,"Counseling, Support Groups","8311 Six Forks Rd, Ste 211, Raleigh, North Carolina, 27615",Wake County,35.8923633965897,-78.6486467278255
03-0594433,Panther Creek Band Boosters,"MBX1281 10030 GRN LVL CH RD STE1281, CARY, NC 27519-0000",Education,Single Organization Support,"27519, Cary, North Carolina",Wake County,35.8254709,-78.9054093999999
04-3222172,Bible Truth Apostolic Pentacostal Church,"5610 ROCK QUARRY RD, RALEIGH, NC 27610-6027",UNDEFINED,UNDEFINED,"5610 Rock Quarry Rd, Raleigh, North Carolina, 27610",Wake County,35.7303192553236,-78.5566998377863
04-3283183,Scheick-Verrochi Fam Foundation,"6125 CARLYLE DR, RALEIGH, NC 27614-8947","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"6125 Carlyle Dr, Raleigh, North Carolina, 27614",Wake County,35.9560316239539,-78.632247995441
04-3528015,Radkids,"1710 FLS CHURCH RD, RALEIGH, NC 27609-3531",Crime and Legal-Related,Crime Prevention,"1710 Falls Church Rd, Raleigh, North Carolina, 27609",Wake County,35.8628322794738,-78.6109460988513
04-3601072,Renaissance Lawyer Society,"6212 O C HESTER RD, HOLLY SPRINGS, NC 27540-8174",Crime and Legal-Related,"Professional Societies, Associations","6212 O C Hester Rd, Holly Springs, North Carolina, 27540",Wake County,35.5697871637716,-78.8520563051819
04-3626382,N C Forestry Association,"1600 GLENWOOD AVE, RALEIGH, NC 27608-2356",Environment,Forest Conservation,"1600 Glenwood Ave, Raleigh, North Carolina, 27608",Wake County,35.8010520246985,-78.6459779724742
04-3670323,Living The Life Of Faith Church,"100 W BARBEE ST, ZEBULON, NC 27597-2816",Religion-Related,Christianity,"100 W Barbee St, Zebulon, North Carolina, 27597",Wake County,35.8197462792427,-78.3121319413122
04-3690379,Touchstone Residential Services,"10940 RAVEN RDG RD STE 210, RALEIGH, NC 27614-6611",Human Services,Foster Care,"10940 Raven Ridge Rd, Ste 210, Raleigh, North Carolina, 27614",Wake County,35.9078323935599,-78.5908573497611
04-3717881,International Covenant Connection,"8220 COOSA CT, RALEIGH, NC 27616-5018",Religion-Related,Protestant,"8220 Coosa Ct, Raleigh, North Carolina, 27616",Wake County,35.8917423630331,-78.5434500797797
04-3718569,Compassionate Covenant Care Ministry,"753 RAWLS DR, RALEIGH, NC 27610-2858",Religion-Related,Christianity,"753 Rawls Dr, Raleigh, North Carolina, 27610",Wake County,35.7700491304461,-78.5870625818571
04-3766471,Wake Interfaith Disaster Team,"8210 CREEDMOOR RD STE 104, RALEIGH, NC 27613-1388","Public Safety, Disaster Preparedness and Relief",Disaster Preparedness and Relief Services,"8210 Creedmoor Rd, Ste 104, Raleigh, North Carolina, 27613",Wake County,35.8989755759132,-78.6807005403087
04-3771485,Apex Church Of God In Christ Jesus New Deal,"4432 S RDG DR, FUQUAY-VARINA, NC 27526-9485",Religion-Related,Protestant,"4432 S Ridge Dr, Fuquay Varina, North Carolina, 27526",Wake County,35.6207735686998,-78.7349383351032
04-3797149,Black Family Land Trust,"5800 FARINGDON PL, RALEIGH, NC 27609-3930",Community Improvement and Capacity Building,"Community, Neighborhood Development","5800 Faringdon Pl, Raleigh, North Carolina, 27609",Wake County,35.8614014649142,-78.6216697028108
04-3805930,Roundtable Of Toxicology Consultants,"2909 KENWICK CT, RALEIGH, NC 27613-6508",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"2909 Kenwick Ct, Raleigh, North Carolina, 27613",Wake County,35.9361854862371,-78.6868875
04-3810502,Now Faith Community Baptist Church,"8933 BUFFALOE RD, KNIGHTDALE, NC 27545-8539",Religion-Related,Protestant,"8933 Buffaloe Rd, Knightdale, North Carolina, 27545",Wake County,35.8312559332038,-78.4620358391426
04-3847594,North Carolina State University,"BOX 7655 NCSU, RALEIGH, NC 27695-0001",Youth Development,Youth Development - Agricultural,"27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
04-3849603,Groundwork Baseball,"300 GADSBURY DR, HOLLY SPRINGS, NC 27540-6345",Recreation and Sports,"Baseball, Softball","300 Gadsbury Dr, Holly Springs, North Carolina, 27540",Wake County,35.6278244449188,-78.8449312843213
04-3853469,Veterans Of Foreign Wars Auxiliary,"7104 JEFFREY DR, RALEIGH, NC 27603-5112",UNDEFINED,UNDEFINED,"7104 Jeffrey Dr, Raleigh, North Carolina, 27603",Wake County,35.6845857501877,-78.6993877537075
05-0519135,Light Of Life Ministry,"3075 BRACEY PL, RALEIGH, NC 27610-6039",Religion-Related,Christianity,"3075 Bracey Pl, Raleigh, North Carolina, 27610",Wake County,35.7395143524728,-78.5408081128167
05-0528886,Middle Creek High School Booster Club,"123 MIDDLE CRK PARK AVE, APEX, NC 27539-7983",Education,Single Organization Support,"123 Middle Creek Park Ave, Apex, North Carolina, 27539",Wake County,35.666694,-78.760737
05-0554820,Evangelical Missionary Church Of Raleigh Le Tabernacle,"1015 FOX HUNT LN APT F, RALEIGH, NC 27615-5328",Religion-Related,Christianity,"1015 Fox Hunt Ln, Apt F, Raleigh, North Carolina, 27615",Wake County,35.8775621068155,-78.6233273091353
05-0559237,Raleigh Ice Dogs Hockey Club,"6409 BARTON PNES RD, RALEIGH, NC 27614-9273",Recreation and Sports,Winter Sports,"6409 Barton Pines Rd, Raleigh, North Carolina, 27614",Wake County,35.9636931509896,-78.657947550291
05-0588440,John Oti Evangelistic Association,"1519 E MILLBROOK RD, RALEIGH, NC 27609-4813",UNDEFINED,UNDEFINED,"1519 E Millbrook Rd, Raleigh, North Carolina, 27609",Wake County,35.8501949215184,-78.610510645017
06-0646523,The American Board Of Anesthesiology,"4200 SIX FRKS RD STE 1100, RALEIGH, NC 27609-2687",UNDEFINED,UNDEFINED,"4200 Six Forks Rd, Raleigh, North Carolina, 27609",Wake County,35.8355185010096,-78.6394142583533
06-1074947,Abundant Life Church Of God In Christ,"4400 OLD POOLE RD, RALEIGH, NC 27610-3033",UNDEFINED,UNDEFINED,"4400 Old Poole Rd, Raleigh, North Carolina, 27610",Wake County,35.7631388117611,-78.5651686817181
06-1367574,Friends Of The Arts Of Brookfield,"319 HAREWOOD PL, FUQUAY VARINA, NC 27526-3530","Arts, Culture and Humanities",Fund Raising and/or Fund Distribution,"319 Harewood Pl, Fuquay Varina, North Carolina, 27526",Wake County,35.6287247413009,-78.8058224048127
06-1467604,Ib Helping Hands,"4000 SAINT JAMES CHURCH RD APT 208, RALEIGH, NC 27604-5064",Religion-Related,Christianity,"4000 Saint James Church Rd, Apt 208, Raleigh, North Carolina, 27604",Wake County,35.8355511379766,-78.5712525347687
06-1501424,Foundation For Educational Enrichment,"4341 SOUTHWIND DR, RALEIGH, NC 27613-3141",Education,"Scholarships, Student Financial Aid Services, Awards","4341 Southwind Dr, Raleigh, North Carolina, 27613",Wake County,35.8663387590745,-78.7063262010791
06-1646565,No Other Way Ministries,"4208 TALLYHOE DR, RALEIGH, NC 27616-6049",UNDEFINED,UNDEFINED,"4208 Tallyhoe Dr, Raleigh, North Carolina, 27616",Wake County,35.8394819715497,-78.5443590799812
06-1663342,Feilding Foundation,"120 FRST RD, RALEIGH, NC 27605-1756",Science and Technology,General Science,"120 Forest Rd, Raleigh, North Carolina, 27605",Wake County,35.7852273116742,-78.6580353086157
06-1706480,Greater Word Of Truth Ministry,"2800 SUMNER BLVD STE 106, RALEIGH, NC 27616-2970",Religion-Related,Christianity,"2800 Sumner Blvd, Ste 106, Raleigh, North Carolina, 27616",Wake County,35.8695712261817,-78.5899447294416
06-1722912,Justice Theater Project,"8208 BROWNLEIGH DR, RALEIGH, NC 27617-7411","Arts, Culture and Humanities",Theater,"8208 Brownleigh Dr, Raleigh, North Carolina, 27617",Wake County,35.886816,-78.7488735064636
06-1749444,PTA North Carolina Congress,"1050 TOWNHALL DR, MORRISVILLE, NC 27560-5731",UNDEFINED,UNDEFINED,"1050 Town Hall Dr, Morrisville, North Carolina, 27560",Wake County,35.8358925263137,-78.8404553145024
06-1782944,PTA North Carolina Congress,"6770 MCCRIMMON PKWY, CARY, NC 27519-1838",UNDEFINED,UNDEFINED,"6770 McCrimmon Pkwy, Cary, North Carolina, 27519",Wake County,35.830422,-78.8890365
06-1790736,Wake Early College Of Health & Science Ptsa,"2901 HOLSTON LN, RALEIGH, NC 27610-2092",Education,Parent/Teacher Group,"2901 Holston Ln, Raleigh, North Carolina, 27610",Wake County,35.7841632972761,-78.5858489897282
06-1827464,Wakefield Wolves Club,"2300 WAKEFIELD PNES DR, RALEIGH, NC 27614-8810",Education,Fund Raising and/or Fund Distribution,"2300 Wakefield Pines Dr, Raleigh, North Carolina, 27614",Wake County,35.945793,-78.5695995
06-1831323,Chaucer Charitable Foundation,"3111 GLENWOOD AVE, RALEIGH, NC 27612-5006","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"3111 Glenwood Ave, Raleigh, North Carolina, 27612",Wake County,35.8235085081083,-78.6653044531409
06-1836099,Raleigh Hemerocallis Club,"6304 WINDY RDG CT, RALEIGH, NC 27606-9579",Environment,"Garden Club, Horticultural Program","6304 Windy Ridge Ct, Raleigh, North Carolina, 27606",Wake County,35.7159405648047,-78.718077993162
06-6182480,Medi-Rec Foundation,"306 LYNDENBURY DR, APEX, NC 27502-9619",UNDEFINED,UNDEFINED,"306 Lyndenbury Dr, Apex, North Carolina, 27502",Wake County,35.7431537787813,-78.9039426809396
11-2699726,United States Power Squadrons,"1504 BLUE RDG RD, RALEIGH, NC 27607-3906",UNDEFINED,UNDEFINED,"1504 Blue Ridge Rd, Raleigh, North Carolina, 27607",Wake County,35.8022983838364,-78.7072157770506
11-3360996,Incubator,"10600 CHARLESGATE CT, RALEIGH, NC 27614-6508","Arts, Culture and Humanities","Arts, Cultural Organizations - Multipurpose","10600 Charlesgate Ct, Raleigh, North Carolina, 27614",Wake County,35.9168579702812,-78.5837568085002
11-3620055,Synergy Global,"101 ECKLIN LN, CARY, NC 27519-9520",Religion-Related,Christianity,"101 Ecklin Ln, Cary, North Carolina, 27519",Wake County,35.8137761693115,-78.8570670926772
11-3660572,Luddy Charitable Foundation,"4641 PARAGON PARK RD, RALEIGH, NC 27616-3406","Philanthropy, Voluntarism and Grantmaking Foundations",Named Trusts N.E.C.,"4641 Paragon Park Rd, Raleigh, North Carolina, 27616",Wake County,35.8886712231806,-78.5606552042531
11-3706812,Faithful Families,"649 GRAND PRINCE LN, RALEIGH, NC 27603-7743",Human Services,Family Counseling,"649 Grand Prince Ln, Raleigh, North Carolina, 27603",Wake County,35.6297918234465,-78.6628422603439
11-3760680,North Carolina School Counselors Association,"9650 STRICKLAND RD STE 103 PMB 125, RALEIGH, NC 27615-1903",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"9650 Strickland Rd, Ste 103, Raleigh, North Carolina, 27615",Wake County,35.9018872782608,-78.6565455006638
11-3763605,Hearts And Hands For Haiti,"6612 CREEDMOOR RD, RALEIGH, NC 27613-3644","International, Foreign Affairs and National Security",International Relief,"6612 Creedmoor Rd, Raleigh, North Carolina, 27613",Wake County,35.8781123310925,-78.6788019835837
11-3771949,Fresh Anointing Outreach,"3101 VERDUGO DR, RALEIGH, NC 27610-5950",Religion-Related,Protestant,"3101 Verdugo Dr, Raleigh, North Carolina, 27610",Wake County,35.7384021118644,-78.6114440477236
11-3779599,Friends Of Ncvma Foundation,"1611 JONES FRANKLIN RD STE 108, RALEIGH, NC 27606-3376",Animal-Related,Animal Protection and Welfare,"1611 Jones Franklin Rd, Ste 108, Raleigh, North Carolina, 27606",Wake County,35.7594525689596,-78.7284562025797
11-3787117,Holly Springs High School Band Boosters,"5329 CASS HOLT RD, HOLLY SPRINGS, NC 27540-9720",Education,Single Organization Support,"5329 Cass Holt Rd, Holly Springs, North Carolina, 27540",Wake County,35.628903,-78.8488245
11-3839119,Organization Of Nigerian Muslims Of Raleigh Nc,"4153 PINEY GAP DR, CARY, NC 27519-7515","Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,"4153 Piney Gap Dr, Cary, North Carolina, 27519",Wake County,35.7894877466097,-78.9068886569909
11-4426493,Arnold Air Society-Silver Wings,"2411 DUNN AVE REYNOLDS RM 135E, RALEIGH, NC 27695-0001",UNDEFINED,UNDEFINED,"2411 Dunn Ave, Raleigh, North Carolina, 27607",Wake County,35.7838622087641,-78.6685834607963
13-1085344,National Council Of The Paper Ind For Air & Stream Improvement,"1513 WALNUT ST STE 200, CARY, NC 27511-5900",UNDEFINED,UNDEFINED,"1513 Walnut St, Ste 200, Cary, North Carolina, 27511",Wake County,35.7644057696921,-78.7500277765596
13-2619154,Inda Association Of The Non Woven Fabrics Industry,"1255 CRES GRN STE 145, CARY, NC 27518-8124",UNDEFINED,UNDEFINED,"1255 Crescent Grn, Ste 145, Cary, North Carolina, 27518",Wake County,35.7322816712743,-78.784392267499
13-3411063,National Aphasia Association,"5448 APEX PEAKWAY, APEX, NC 27502-3924",UNDEFINED,UNDEFINED,"5448 Apex Peakway, Apex, North Carolina, 27502",Wake County,35.7380478003354,-78.8665444033704
13-3705951,The V Foundation,"14600 WESTON PKWY, CARY, NC 27513-2259",Medical Research,Fund Raising and/or Fund Distribution,"14600 Weston Pkwy, Cary, North Carolina, 27513",Wake County,35.8175028387672,-78.8110181743318
13-3813813,American Kennel Club Canine Health Foundation,"8051 ARCO CORPORATE DR STE 300, RALEIGH, NC 27617-2028",Animal-Related,Fund Raising and/or Fund Distribution,"8051 Arco Corporate Dr, Ste 300, Raleigh, North Carolina, 27617",Wake County,35.9047329478044,-78.7783619305217
13-3961002,The Coalition For Reformers,"645 PRICKLY PEAR DR, FUQUAY VARINA, NC 27526-9730",Religion-Related,Protestant,"645 Prickly Pear Dr, Fuquay Varina, North Carolina, 27526",Wake County,35.5676503108374,-78.8087981951065
13-4143364,William And Beverly Rockford Foundation,"C/O M ROCKFORD 10708 CAMBIUM CT, RALEIGH, NC 27613-0000","Philanthropy, Voluntarism and Grantmaking Foundations",Private Grantmaking Foundations,"10708 Cambium Ct, Raleigh, North Carolina, 27613",Wake County,35.9267687591032,-78.709623621502
13-4272037,Crown Of Victory Church Of Deliverance,"1215 ARAGON DR APT 207, KNIGHTDALE, NC 27545-6025",Religion-Related,Protestant,"1215 Aragon Dr, Apt 207, Knightdale, North Carolina, 27545",Wake County,35.8011285070978,-78.4848105
13-4288670,Integrate Health,"4501 NEW BERN AVE STE 130 PMB 210, RALEIGH, NC 27610-1550",Voluntary Health Associations and Medical Disciplines,Fund Raising and/or Fund Distribution,"4501 New Bern Ave, Ste 130, Raleigh, North Carolina, 27610",Wake County,35.7984307269315,-78.5601625968608
13-4312776,Alabama Nonprofit Housing,"8801 FAST PARK DR STE 117, RALEIGH, NC 27617-4853",Housing and Shelter,Low-Income & Subsidized Rental Housing,"8801 Fast Park Dr, Ste 117, Raleigh, North Carolina, 27617",Wake County,35.9031328340067,-78.765336101073
13-4342763,Panther Creek High School Choral Boosters,"6770 MCCRIMMON PKWY, CARY, NC 27519-1838",Education,Single Organization Support,"6770 McCrimmon Pkwy, Cary, North Carolina, 27519",Wake County,35.830422,-78.8890365
13-6104296,Lamaze International,"183 WIND CHIME CT STE 203, RALEIGH, NC 27615-6473",Health Care,Reproductive Health Care Facilities and Allied Services,"183 Wind Chime Ct, Ste 203, Raleigh, North Carolina, 27615",Wake County,35.8755383245134,-78.642170980553
13-6113561,Harry Leon Lobsenz Foundation,"111 SPG CV DR, CARY, NC 27511-7231",UNDEFINED,UNDEFINED,"111 Spring Cove Dr, Cary, North Carolina, 27511",Wake County,35.7642195098391,-78.7960855161002
13-6117501,Huisking Foundation,"10912 BRIMFIELD CT, RALEIGH, NC 27614-7790",UNDEFINED,UNDEFINED,"10912 Brimfield Ct, Raleigh, North Carolina, 27614",Wake County,35.9201904718391,-78.5766818162331
13-6168283,United States Society On Dams,"4617 STONY FLS WAY, KNIGHTDALE, NC 27545-5132",Environment,Management & Technical Assistance,"4617 Stony Falls Way, Knightdale, North Carolina, 27545",Wake County,35.7599917507646,-78.5063670960527
13-6214713,Information Technology Alliance,"514 DANIELS ST 361, RALEIGH, NC 27605-1317",UNDEFINED,UNDEFINED,"514 Daniels St, Raleigh, North Carolina, 27605",Wake County,35.791587,-78.6611539898151
13-7262884,Richard And Rita Porterfield Charitable,"C/O HOLLY IZZO 1949 LATHAM OAKS AVE, WAKE FOREST, NC 27587-0000","Philanthropy, Voluntarism and Grantmaking Foundations",Named Trusts N.E.C.,"Latham Oaks Ave, Wake Forest, North Carolina, 27587",Wake County,35.97651,-78.4689795
13-7350415,Jack Fanning Memorial Foundation,"409 GRV ST, APEX, NC 27502-1419","Philanthropy, Voluntarism and Grantmaking Foundations",Public Foundations,"409 Grove St, Apex, North Carolina, 27502",Wake County,35.7352537260661,-78.8507227599399
14-1839387,Triangle Aquatic Center,"275 CONVENTION DR, CARY, NC 27511-4257",Recreation and Sports,Physical Fitness and Community Recreational Facilities,"275 Convention Dr, Cary, North Carolina, 27511",Wake County,35.7753856556059,-78.7555552405224
14-1852572,Ad Club Of The Triangle,"964 HIGH HOUSE RD PMB 2077, CARY, NC 27513-3574",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"964 High House Rd, Cary, North Carolina, 27513",Wake County,35.7877609367819,-78.8276090274112
14-1871469,Potters Hand Bible Church,"3468 APEX PEAKWAY, APEX, NC 27502-5756",Religion-Related,Protestant,"3468 Apex Peakway, Apex, North Carolina, 27502",Wake County,35.7140693872406,-78.8511033183393
14-1878406,Access Outreach Ministry,"2837 GLADE ASTER CT, RALEIGH, NC 27604-5468",Religion-Related,Protestant,"2837 Glade Aster Ct, Raleigh, North Carolina, 27604",Wake County,35.8180043463846,-78.5688032474177
14-1885422,New Freedom Christian Fellowship,"3540 MAITLAND DR STE 106, RALEIGH, NC 27610-1230",Religion-Related,Christianity,"3540 Maitland Dr, Ste 106, Raleigh, North Carolina, 27610",Wake County,35.7966512891687,-78.5819248477696
14-1886248,Mt Moriah Church,"168 DONMOOR CT, GARNER, NC 27529-2500",UNDEFINED,UNDEFINED,"168 Donmoor Ct, Garner, North Carolina, 27529",Wake County,35.7256195015579,-78.6429389861215
14-1889640,Senior Rockettes,"11030 LOUSON PL, RALEIGH, NC 27614-6728",Recreation and Sports,Recreational l Clubs,"11030 Louson Pl, Raleigh, North Carolina, 27614",Wake County,35.909516450199,-78.588617977379
14-1902145,Broken Wings,"1837 E GARNER RD, RALEIGH, NC 27610-9655",Human Services,"Children's, Youth Services","1837 E Garner Rd, Raleigh, North Carolina, 27610",Wake County,35.6957262376073,-78.5578662625369
14-1943181,Home Builders Association Of Raleigh-Wake County Charitable Cor,"5580 CENTERVIEW DR STE 115, RALEIGH, NC 27606-4599","Public Safety, Disaster Preparedness and Relief",Disaster Preparedness and Relief Services,"5580 Centerview Dr, Ste 115, Raleigh, North Carolina, 27606",Wake County,35.7613966868836,-78.7310929364647
14-2006013,Dogwood Ift,"NCSU CAMPUS BOX 7624, RALEIGH, NC 27695-0001",Community Improvement and Capacity Building,Chambers of Commerce & Business Leagues,"27695, Raleigh, North Carolina",Wake County,35.78551,-78.64267
16-1437584,Community Crusade For Christ,"3233 ML RUN, RALEIGH, NC 27612-5211",UNDEFINED,UNDEFINED,"3233 Mill Run, Raleigh, North Carolina, 27612",Wake County,35.8249818690343,-78.7114533301402
16-1541024,Rise Against Hunger,"4801 GLENWOOD AVE STE 200, RALEIGH, NC 27612-3857","International, Foreign Affairs and National Security",International Relief,"4801 Glenwood Ave, Ste 200, Raleigh, North Carolina, 27612",Wake County,35.8434643865777,-78.6821791212995
16-1612081,Rochester Theta,"3613 CROSS TIMBER LN, RALEIGH, NC 27603-9658",Education,"Student Sororities, Fraternities","Cross Timber Ln, Apex, North Carolina, 27539",Wake County,35.6701059246419,-78.7162472206677
16-1617386,Footnotes Tap Ensemble,"3400 OCTAVIA ST, RALEIGH, NC 27606-2712","Arts, Culture and Humanities",Dance,"3400 Octavia St, Raleigh, North Carolina, 27606",Wake County,35.7686594196721,-78.6983115169369
16-1638107,Lincolnville A M E Church,"6400 CHAPEL HL RD, RALEIGH, NC 27607-5118",UNDEFINED,UNDEFINED,"6400 Chapel Hill Rd, Raleigh, North Carolina, 27607",Wake County,35.789872763027,-78.7331818082117
16-1640109,Communtiy Apartments Corporation Of Metrolina 5,"353 E SIX FRKS RD STE 300, RALEIGH, NC 27609-7887",Housing and Shelter,Low-Income & Subsidized Rental Housing,"353 E Six Forks Rd, Ste 300, Raleigh, North Carolina, 27609",Wake County,35.82050995923,-78.6261324559987
16-1640669,The Order Of Saint Andrew,"2508 GATWICK CT, RALEIGH, NC 27613-1603",UNDEFINED,UNDEFINED,"2508 Gatwick Ct, Raleigh, North Carolina, 27613",Wake County,35.8877004091118,-78.6819862166597
